iter	RMSE
0	15.43927334
1	14.16690708
2	12.9197944
3	11.74879881
4	10.74523432
5	9.798125423
6	9.047993532
7	8.321211798
8	7.618392159
9	6.965364896
10	6.42779642
11	5.920472866
12	5.484774825
13	5.066758091
14	4.694967414
15	4.333325792
16	4.066901299
17	3.809677342
18	3.583866441
19	3.379414251
20	3.191734522
21	3.023730174
22	2.895274984
23	2.763329712
24	2.65147157
25	2.536597151
26	2.445422551
27	2.362303361
28	2.287425782
29	2.214997514
30	2.149204334
31	2.094623253
32	2.038960059
33	1.996734389
34	1.945827179
35	1.910853467
36	1.876378613
37	1.838601781
38	1.807706479
39	1.783132256
40	1.759641249
41	1.739599355
42	1.710969887
43	1.689093873
44	1.67499299
45	1.655157009
46	1.635887092
47	1.623688604
48	1.603195307
49	1.590802041
50	1.57984536
51	1.563612659
52	1.552817566
53	1.543042272
54	1.53634692
55	1.527094464
56	1.51511565
57	1.506793458
58	1.491041953
59	1.486548109
60	1.472306325
61	1.456899029
62	1.45129635
63	1.440344189
64	1.42373034
65	1.414454597
66	1.401976326
67	1.39888307
68	1.388459291
69	1.384239475
70	1.372740347
71	1.366362728
72	1.352983461
73	1.341388479
74	1.325432814
75	1.316893296
76	1.307941558
77	1.30160837
78	1.292323106
79	1.284432731
80	1.279275202
81	1.274826986
82	1.269008728
83	1.263476887
84	1.258181006
85	1.253046888
86	1.242529427
87	1.238134973
88	1.234554969
89	1.228437479
90	1.221977564
91	1.218945448
92	1.211138399
93	1.206024612
94	1.201536142
95	1.198204641
96	1.194235691
97	1.182067937
98	1.172751638
99	1.163580242
100	1.159713267
101	1.148328629
102	1.142902612
103	1.137400524
104	1.131297497
105	1.126859295
106	1.12021387
107	1.114701528
108	1.110379081
109	1.104861193
110	1.102827154
111	1.096223349
112	1.08645334
113	1.0846156
114	1.078165879
115	1.071385357
116	1.069635307
117	1.064362236
118	1.059590491
119	1.053359949
120	1.050714457
121	1.047448548
122	1.04007739
123	1.033645939
124	1.031186859
125	1.025303788
126	1.02355712
127	1.01957678
128	1.017017714
129	1.012135849
130	1.008111233
131	1.004827089
132	1.00248793
133	0.9974415877
134	0.9933269617
135	0.9908512213
136	0.9851557744
137	0.9829203159
138	0.9812206249
139	0.980246011
140	0.978256882
141	0.9727444279
142	0.9683485668
143	0.9587190057
144	0.9526608881
145	0.9440488673
146	0.9400657396
147	0.9356330273
148	0.9320119468
149	0.927195959
