iter	Passed	Remaining
0	5	762
1	8	636
2	12	619
3	16	616
4	20	586
5	26	637
6	32	657
7	36	645
8	43	674
9	48	672
10	52	661
11	57	656
12	62	662
13	67	651
14	71	641
15	75	633
16	81	637
17	86	631
18	90	622
19	96	624
20	99	613
21	103	601
22	107	594
23	111	587
24	116	580
25	120	573
26	124	567
27	128	560
28	133	555
29	137	548
30	141	543
31	145	536
32	150	534
33	155	529
34	159	524
35	164	519
36	168	514
37	172	508
38	176	503
39	181	497
40	185	491
41	189	486
42	192	480
43	196	473
44	199	466
45	203	461
46	207	455
47	212	450
48	216	446
49	220	440
50	224	436
51	230	435
52	236	432
53	241	430
54	247	427
55	258	434
56	263	430
57	267	424
58	273	421
59	277	415
60	281	410
61	286	406
62	290	401
63	295	396
64	299	391
65	303	386
66	307	380
67	311	375
68	315	370
69	319	365
70	324	360
71	328	355
72	332	351
73	337	346
74	340	340
75	343	334
76	346	328
77	350	323
78	353	317
79	356	311
80	360	306
81	363	301
82	366	295
83	369	290
84	372	284
85	375	279
86	379	274
87	382	269
88	385	264
89	388	259
90	391	253
91	394	249
92	398	243
93	401	239
94	404	234
95	407	229
96	410	224
97	413	219
98	419	216
99	426	213
100	432	209
101	439	206
102	446	203
103	450	199
104	453	194
105	459	190
106	463	186
107	468	182
108	472	177
109	477	173
110	481	169
111	484	164
112	488	159
113	491	155
114	494	150
115	498	146
116	501	141
117	504	136
118	508	132
119	512	128
120	519	124
121	523	120
122	527	115
123	532	111
124	538	107
125	541	103
126	544	98
127	547	94
128	550	89
129	553	85
130	557	80
131	560	76
132	563	72
133	566	67
134	569	63
135	573	59
136	576	54
137	581	50
138	585	46
139	588	42
140	592	37
141	596	33
142	600	29
143	603	25
144	608	20
145	612	16
146	617	12
147	624	8
148	628	4
149	632	0
