district_id,district_name,crop_id,crop_name,agricultural_year,season,irrigated_area_ha,rainfed_area_ha,irrigation_percentage,fertilizer_n_kg_ha,fertilizer_p_kg_ha,fertilizer_k_kg_ha,organic_manure_tonnes_ha,seed_rate_kg_ha,pesticide_use,farm_mechanization_index,number_of_irrigations,water_availability_index,source_name,source_year,data_status,season_id,crop_scope
DST01,Angul,,All Crops,2019-20,Kharif+Rabi,,,,14.8,8.71,2.66,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST02,Balangir,,All Crops,2019-20,Kharif+Rabi,,,,80.04,45.29,21.08,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST03,Balasore,,All Crops,2019-20,Kharif+Rabi,,,,84.81,42.66,20.32,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST04,Bargarh,,All Crops,2019-20,Kharif+Rabi,,,,70.44,39.6,18.79,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST05,Bhadrak,,All Crops,2019-20,Kharif+Rabi,,,,37.04,18.58,9.16,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST06,Boudh,,All Crops,2019-20,Kharif+Rabi,,,,23.02,10.35,4.41,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST07,Cuttack,,All Crops,2019-20,Kharif+Rabi,,,,42.81,13.24,7.1,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST08,Deogarh,,All Crops,2019-20,Kharif+Rabi,,,,27.99,27.63,4.59,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST09,Dhenkanal,,All Crops,2019-20,Kharif+Rabi,,,,19.78,10.53,3.44,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
DST10,Gajapati,,All Crops,2019-20,Kharif+Rabi,,,,33.56,10.09,4.31,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED|CROP_SPECIFIC_INPUTS_UNAVAILABLE,SEA04,DISTRICT_AGGREGATE_NOT_CROP_SPECIFIC
