district_id,district_name,crop_id,crop_name,agricultural_year,season,irrigated_area_ha,rainfed_area_ha,irrigation_percentage,fertilizer_n_kg_ha,fertilizer_p_kg_ha,fertilizer_k_kg_ha,organic_manure_tonnes_ha,seed_rate_kg_ha,pesticide_use,farm_mechanization_index,number_of_irrigations,water_availability_index,source_name,source_year,data_status,season_id,crop_scope
DST01,Angul,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,14.8,8.71,2.66,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST02,Balangir,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,80.04,45.29,21.08,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST03,Balasore,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,84.81,42.66,20.32,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST04,Bargarh,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,70.44,39.6,18.79,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST05,Bhadrak,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,37.04,18.58,9.16,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST06,Boudh,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,23.02,10.35,4.41,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST07,Cuttack,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,42.81,13.24,7.1,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST08,Deogarh,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,27.99,27.63,4.59,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST09,Dhenkanal,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,19.78,10.53,3.44,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
DST10,Gajapati,ALL_CROPS,All Crops,2019-20,Kharif+Rabi,,,,33.56,10.09,4.31,,,,,,,"Directorate of Economics & Statistics, Odisha / District Statistical Handbook",2019-20,AUTHORITATIVE_DISTRICT_AGGREGATE_GRAIN_PRESERVED,SEA04,ALL_CROPS_DISTRICT_AGGREGATE
