observation_id,district_id,district_name,crop_id,crop_name,season_id,season_name,agricultural_year,latitude,longitude,soil_ph,nitrogen,phosphorus,potassium,soil_moisture,rainfall_mm,temperature_mean_c,temperature_min_c,temperature_max_c,irrigation_status,soil_type,sowing_date,harvest_date,area_ha,yield_tonnes_per_ha,crop_actual,provenance_status,provenance_note,g_lat,g_lon,dist_deg,original_latitude,original_longitude,coordinate_status
OBS0000001,DST01,Angul,CRP001,Groundnut,SEA01,Kharif,2022,20.83,85.1,7.01,58.65,21.34,26.03,39.89,1127.31,22.17,15.06,27.67,Rainfed,Loam,2022-06-02,2022-09-20,6120.573,1.76,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.194645845026725,18.00516,81.99914,district_reference_coordinates_used_for_prototype
OBS0000002,DST01,Angul,CRP001,Groundnut,SEA01,Kharif,2023,20.83,85.1,6.21,67.16,19.38,32.97,30.27,1393.67,30.18,22.05,38.18,Irrigated,Lateritic,2023-06-17,2023-10-05,6001.129,2.013,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.202125716503493,18.00582,81.98843,district_reference_coordinates_used_for_prototype
OBS0000003,DST01,Angul,CRP001,Groundnut,SEA01,Kharif,2024,20.83,85.1,6.68,71.58,40.34,29.48,31.71,1210.72,29.68,21.48,36.83,Rainfed,Lateritic,2024-06-10,2024-09-28,7875.332,1.828,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.188881679923646,18.01322,81.9996,district_reference_coordinates_used_for_prototype
OBS0000004,DST01,Angul,CRP004,Maize,SEA01,Kharif,2022,20.83,85.1,5.93,53.39,36.88,25.69,30.95,1063.19,21.89,16.75,28.99,Irrigated,Sandy loam,2022-06-20,2022-09-28,13492.56,2.458,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.209822763395144,17.99336,81.98936,district_reference_coordinates_used_for_prototype
OBS0000005,DST01,Angul,CRP004,Maize,SEA01,Kharif,2023,20.83,85.1,7.13,43.4,48.6,42.71,25.23,985.58,28.58,19.79,36.33,Irrigated,Lateritic,2023-06-22,2023-09-30,10569.024,2.194,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.198558792824026,18.00942,81.98998,district_reference_coordinates_used_for_prototype
OBS0000006,DST01,Angul,CRP004,Maize,SEA01,Kharif,2024,20.83,85.1,5.61,61.11,36.59,64.13,23.63,972.21,27.0,18.16,32.78,Rainfed,Red,2024-06-11,2024-09-19,13161.393,2.136,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.199320815524809,17.99219,82.00466,district_reference_coordinates_used_for_prototype
OBS0000007,DST01,Angul,CRP005,Moong(Green Gram),SEA02,Rabi,2022,20.83,85.1,6.66,44.7,31.46,23.02,19.56,1315.41,25.69,18.93,33.49,Rainfed,Alluvial,2022-10-04,2022-12-13,6596.674,1.134,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.186376652906417,18.01492,82.00144,district_reference_coordinates_used_for_prototype
OBS0000008,DST01,Angul,CRP005,Moong(Green Gram),SEA02,Rabi,2023,20.83,85.1,6.85,63.14,47.75,52.27,20.03,1179.44,21.94,15.56,29.57,Rainfed,Sandy loam,2023-10-04,2023-12-13,4362.835,0.932,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.1922632055967,18.00557,82.00199,district_reference_coordinates_used_for_prototype
OBS0000009,DST01,Angul,CRP005,Moong(Green Gram),SEA02,Rabi,2024,20.83,85.1,5.66,59.8,49.11,60.35,22.23,779.04,24.27,19.2,32.42,Rainfed,Sandy loam,2024-10-09,2024-12-18,5302.026,1.07,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.203877546801281,18.00019,81.99118,district_reference_coordinates_used_for_prototype
OBS0000010,DST01,Angul,CRP007,Ragi,SEA01,Kharif,2022,20.83,85.1,6.28,36.68,49.83,38.28,18.88,1171.94,28.79,22.08,34.68,Rainfed,Loam,2022-06-13,2022-10-01,986.083,1.48,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.202932529674965,18.00689,81.98637,district_reference_coordinates_used_for_prototype
OBS0000011,DST01,Angul,CRP007,Ragi,SEA01,Kharif,2023,20.83,85.1,5.81,35.86,25.04,49.3,25.08,1160.77,27.4,22.38,34.48,Rainfed,Red,2023-06-04,2023-09-22,777.528,1.394,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.1838176270004865,18.01604,82.00388,district_reference_coordinates_used_for_prototype
OBS0000012,DST01,Angul,CRP007,Ragi,SEA01,Kharif,2024,20.83,85.1,7.23,33.0,20.01,67.11,33.92,861.32,26.45,19.1,35.0,Irrigated,Alluvial,2024-06-14,2024-10-02,1179.286,1.447,Ragi,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.198642453805744,17.99993,81.9985,district_reference_coordinates_used_for_prototype
OBS0000013,DST01,Angul,CRP009,Rice,SEA01,Kharif,2022,20.83,85.1,6.21,48.66,36.35,41.01,42.92,1644.88,28.3,21.79,34.91,Irrigated,Red,2022-06-18,2022-10-16,84291.459,4.298,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.193503327016684,18.00039,82.00504,district_reference_coordinates_used_for_prototype
OBS0000014,DST01,Angul,CRP009,Rice,SEA01,Kharif,2023,20.83,85.1,5.59,62.67,31.34,46.07,36.15,1175.2,25.26,19.5,31.55,Rainfed,Alluvial,2023-06-19,2023-10-17,80676.997,3.539,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.185705535808738,18.00662,82.00991,district_reference_coordinates_used_for_prototype
OBS0000015,DST01,Angul,CRP009,Rice,SEA01,Kharif,2024,20.83,85.1,6.58,38.2,29.96,36.92,40.77,1054.81,29.81,23.51,38.44,Irrigated,Loam,2024-06-14,2024-10-12,64023.022,3.464,Rice,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.208420407540093,17.98921,81.99505,district_reference_coordinates_used_for_prototype
OBS0000016,DST01,Angul,CRP010,Sesamum,SEA01,Kharif,2022,20.83,85.1,6.69,31.04,17.18,30.42,21.25,1097.28,28.24,19.6,34.63,Rainfed,Lateritic,2022-06-17,2022-09-25,447.167,0.47,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.189555874170909,18.01312,81.99878,district_reference_coordinates_used_for_prototype
OBS0000017,DST01,Angul,CRP010,Sesamum,SEA01,Kharif,2023,20.83,85.1,6.83,75.34,38.56,34.19,18.5,1104.06,27.64,20.26,33.19,Irrigated,Red,2023-06-15,2023-09-23,319.941,0.56,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.190370935573602,18.01039,82.00016,district_reference_coordinates_used_for_prototype
OBS0000018,DST01,Angul,CRP010,Sesamum,SEA01,Kharif,2024,20.83,85.1,6.71,79.05,45.38,28.08,24.5,1066.55,26.47,19.13,34.03,Rainfed,Red,2024-06-20,2024-09-28,317.608,0.552,Sesamum,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.190081693105746,18.01507,81.9963,district_reference_coordinates_used_for_prototype
OBS0000019,DST01,Angul,CRP012,Urad,SEA02,Rabi,2022,20.83,85.1,5.62,65.41,43.55,60.72,20.27,1167.5,26.87,18.24,34.78,Rainfed,Loam,2022-10-22,2023-01-10,2820.035,0.671,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.2013450266551455,17.99613,81.99831,district_reference_coordinates_used_for_prototype
OBS0000020,DST01,Angul,CRP012,Urad,SEA02,Rabi,2023,20.83,85.1,5.54,77.71,16.24,62.2,23.89,880.5,27.8,19.66,34.72,Rainfed,Loam,2023-10-13,2024-01-01,2056.836,0.659,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.188607498214648,17.99971,82.0123,district_reference_coordinates_used_for_prototype
OBS0000021,DST01,Angul,CRP012,Urad,SEA02,Rabi,2024,20.83,85.1,6.65,66.99,46.78,24.87,42.0,702.39,25.69,19.86,32.6,Irrigated,Loam,2024-10-04,2024-12-23,3150.231,0.95,Urad,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.203932068266561,17.99525,81.99561,district_reference_coordinates_used_for_prototype
OBS0000022,DST01,Angul,CRP002,Horse Gram,SEA99,Unknown,2022,20.83,85.1,5.97,64.27,48.97,25.09,21.6,1185.12,26.62,20.7,31.89,Rainfed,Lateritic,2022-06-14,2022-09-22,1828.134,0.574,Horse Gram,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.200678277921312,17.99375,82.00139,district_reference_coordinates_used_for_prototype
OBS0000023,DST01,Angul,CRP002,Horse Gram,SEA99,Unknown,2023,20.83,85.1,6.01,31.26,41.55,34.46,38.43,1278.29,22.95,15.99,29.64,Rainfed,Sandy loam,2023-06-22,2023-09-30,1583.435,0.733,Horse Gram,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.191236292849638,18.00095,82.0076,district_reference_coordinates_used_for_prototype
OBS0000024,DST01,Angul,CRP002,Horse Gram,SEA99,Unknown,2024,20.83,85.1,6.07,48.01,18.36,53.47,23.74,1209.5,28.48,21.59,36.81,Irrigated,Red,2024-06-19,2024-09-27,1918.695,0.541,Horse Gram,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.198020216745024,18.00229,81.99719,district_reference_coordinates_used_for_prototype
OBS0000025,DST01,Angul,CRP006,Potato,SEA02,Rabi,2022,20.83,85.1,5.96,67.51,25.16,25.62,31.35,884.12,29.72,23.32,36.68,Irrigated,Sandy loam,2022-10-06,2023-01-14,6418.032,17.862,Potato,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.206201764751655,18.00273,81.98573,district_reference_coordinates_used_for_prototype
OBS0000026,DST01,Angul,CRP006,Potato,SEA02,Rabi,2023,20.83,85.1,6.85,50.32,44.24,67.44,41.28,816.11,24.25,17.24,30.47,Irrigated,Lateritic,2023-10-24,2024-02-01,5104.86,15.661,Potato,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.205447568095455,17.99424,81.99448,district_reference_coordinates_used_for_prototype
OBS0000027,DST01,Angul,CRP006,Potato,SEA02,Rabi,2024,20.83,85.1,5.97,68.84,43.43,43.07,35.94,1443.95,26.81,21.77,33.79,Irrigated,Loam,2024-10-07,2025-01-15,4387.21,16.773,Potato,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.179779630805909,18.00814,82.01655,district_reference_coordinates_used_for_prototype
OBS0000028,DST01,Angul,CRP008,Rapeseed &Mustard,SEA02,Rabi,2022,20.83,85.1,6.79,50.25,23.7,21.17,34.15,1299.96,26.1,17.84,32.04,Irrigated,Lateritic,2022-10-12,2023-02-04,1389.295,1.095,Rapeseed &Mustard,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.197167293520713,17.98633,82.01297,district_reference_coordinates_used_for_prototype
OBS0000029,DST01,Angul,CRP008,Rapeseed &Mustard,SEA02,Rabi,2023,20.83,85.1,6.66,52.54,25.47,64.5,28.09,911.18,24.9,18.65,31.05,Rainfed,Loam,2023-10-02,2024-01-25,1947.309,1.076,Rapeseed &Mustard,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.184122464854489,18.01628,82.00325,district_reference_coordinates_used_for_prototype
OBS0000030,DST01,Angul,CRP008,Rapeseed &Mustard,SEA02,Rabi,2024,20.83,85.1,5.72,46.99,27.46,64.31,21.01,1310.3,27.21,19.12,32.47,Rainfed,Sandy loam,2024-10-21,2025-02-13,1382.079,1.021,Rapeseed &Mustard,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.177450293719842,18.01331,82.01498,district_reference_coordinates_used_for_prototype
OBS0000031,DST01,Angul,CRP011,Sugarcane,SEA03,Annual,2022,20.83,85.1,6.73,30.71,31.26,40.28,18.56,891.55,25.61,16.89,33.77,Irrigated,Lateritic,2022-02-22,2022-12-19,6770.551,78.044,Sugarcane,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.200887392599326,17.99057,82.00402,district_reference_coordinates_used_for_prototype
OBS0000032,DST01,Angul,CRP011,Sugarcane,SEA03,Annual,2023,20.83,85.1,6.9,68.84,16.89,46.96,36.22,1161.6,27.42,20.33,34.63,Rainfed,Alluvial,2023-02-09,2023-12-06,7083.952,60.309,Sugarcane,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.195631287339245,17.99332,82.00863,district_reference_coordinates_used_for_prototype
OBS0000033,DST01,Angul,CRP011,Sugarcane,SEA03,Annual,2024,20.83,85.1,6.24,36.77,43.02,61.6,42.65,1001.91,26.08,19.42,33.16,Rainfed,Sandy loam,2024-02-14,2024-12-10,6685.366,73.652,Sugarcane,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.20876161839798,17.98337,81.99994,district_reference_coordinates_used_for_prototype
OBS0000034,DST01,Angul,CRP003,Jute,SEA01,Kharif,2022,20.83,85.1,6.6,70.44,30.32,27.54,26.16,1185.36,24.96,19.24,30.01,Rainfed,Lateritic,2022-06-13,2022-10-11,2290.644,1.345,Jute,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.187692354793983,18.00478,82.0089,district_reference_coordinates_used_for_prototype
OBS0000035,DST01,Angul,CRP003,Jute,SEA01,Kharif,2023,20.83,85.1,7.16,55.5,15.53,30.76,21.06,1410.1,27.93,21.38,36.57,Rainfed,Lateritic,2023-06-24,2023-10-22,3140.772,1.528,Jute,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.210441398060304,17.99047,81.99116,district_reference_coordinates_used_for_prototype
OBS0000036,DST01,Angul,CRP003,Jute,SEA01,Kharif,2024,20.83,85.1,6.71,66.98,21.55,55.59,42.37,1080.91,28.33,21.54,36.44,Irrigated,Alluvial,2024-06-06,2024-10-04,2370.456,1.824,Jute,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.192944812348473,18.00537,82.00125,district_reference_coordinates_used_for_prototype
OBS0000037,DST01,Angul,CRP013,Wheat,SEA99,Unknown,2022,20.83,85.1,5.87,75.74,30.6,66.34,40.12,1250.12,23.86,17.75,31.53,Rainfed,Lateritic,2022-06-06,2022-09-14,2930.481,2.763,Wheat,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.192102435640136,18.01105,81.99722,district_reference_coordinates_used_for_prototype
OBS0000038,DST01,Angul,CRP013,Wheat,SEA99,Unknown,2023,20.83,85.1,6.5,61.7,48.45,55.39,42.09,945.75,25.43,18.97,30.87,Irrigated,Loam,2023-06-20,2023-09-28,3083.807,2.689,Wheat,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.213682339771233,17.98429,81.99242,district_reference_coordinates_used_for_prototype
OBS0000039,DST01,Angul,CRP013,Wheat,SEA99,Unknown,2024,20.83,85.1,7.21,36.07,40.14,22.56,34.71,1071.02,29.32,23.97,35.0,Irrigated,Lateritic,2024-06-03,2024-09-11,2589.716,3.078,Wheat,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.83,85.1,4.199622110726151,18.00248,81.99485,district_reference_coordinates_used_for_prototype
OBS0000040,DST02,Balangir,CRP001,Groundnut,SEA01,Kharif,2022,20.72,83.48,7.04,75.25,38.84,33.06,24.53,1291.76,29.02,21.16,36.9,Rainfed,Red,2022-06-06,2022-09-24,699.589,1.408,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.479915845346374,18.44252,82.49864,district_reference_coordinates_used_for_prototype
OBS0000041,DST02,Balangir,CRP001,Groundnut,SEA01,Kharif,2023,20.72,83.48,7.04,57.48,29.42,29.74,32.73,918.88,28.14,22.84,35.28,Rainfed,Loam,2023-06-14,2023-10-02,769.637,1.723,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.481608681339587,18.44252,82.49437,district_reference_coordinates_used_for_prototype
OBS0000042,DST02,Balangir,CRP001,Groundnut,SEA01,Kharif,2024,20.72,83.48,7.04,63.1,49.25,65.62,22.54,1099.68,26.17,19.08,33.93,Rainfed,Sandy loam,2024-06-21,2024-10-09,732.422,1.684,Groundnut,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4685076546974716,18.44898,82.51253,district_reference_coordinates_used_for_prototype
OBS0000043,DST02,Balangir,CRP004,Maize,SEA01,Kharif,2022,20.72,83.48,6.67,60.51,35.2,68.36,42.49,1117.76,27.65,19.6,34.19,Rainfed,Loam,2022-06-21,2022-09-29,4879.215,2.578,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.478751011376496,18.44858,82.4876,district_reference_coordinates_used_for_prototype
OBS0000044,DST02,Balangir,CRP004,Maize,SEA01,Kharif,2023,20.72,83.48,5.53,79.26,38.52,63.89,40.89,1250.85,27.04,19.09,32.89,Rainfed,Sandy loam,2023-06-20,2023-09-28,4078.793,1.931,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4732179318855056,18.44381,82.51265,district_reference_coordinates_used_for_prototype
OBS0000045,DST02,Balangir,CRP004,Maize,SEA01,Kharif,2024,20.72,83.48,6.15,64.98,46.07,34.41,31.14,1082.63,29.08,22.85,35.85,Irrigated,Loam,2024-06-12,2024-09-20,3420.691,2.576,Maize,SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.4695050391728315,18.45656,82.49243,district_reference_coordinates_used_for_prototype
OBS0000046,DST02,Balangir,CRP005,Moong(Green Gram),SEA02,Rabi,2022,20.72,83.48,6.36,75.29,38.62,46.48,25.8,1104.85,28.8,21.32,36.1,Irrigated,Lateritic,2022-10-10,2022-12-19,3569.776,1.219,Moong(Green Gram),SYNTHETIC_AI_GENERATED,Prototype only; crop_actual follows an existing project crop-production record and is not independently verified farm-survey ground truth.,20.72,83.48,2.470647722865402,18.45797,82.48636,district_reference_coordinates_used_for_prototype
