district_id,district_name,crop_id,crop_name,agricultural_year,season,area_sown_ha,area_harvested_ha,production_tonnes,yield_tonnes_per_ha,data_status,source_basis,season_id,yield_calculation_status
DST01,Angul,CRP001,Groundnut,2015-16,Annual,7852.68,7663.86,13515.79,1.7635747521483953,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2016-17,Annual,8106.05,7918.74,14570.45,1.8399960094661525,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2017-18,Annual,7142.13,6843.09,12163.77,1.7775259422278533,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2018-19,Annual,7818.02,7571.65,13222.46,1.7463115701333263,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2019-20,Annual,7070.2,6883.4,11340.57,1.6475244791817998,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2020-21,Annual,7580.69,7305.67,12608.91,1.7259074116405477,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2021-22,Annual,7391.07,7187.14,12551.54,1.7463886886856246,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2022-23,Annual,8027.55,7767.77,13622.54,1.753725972833902,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2023-24,Annual,8073.83,7748.76,13789.96,1.7796344189263829,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP001,Groundnut,2024-25,Annual,7951.41,7752.7,14341.5,1.8498716576160563,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2015-16,Annual,11337.49,10992.66,26555.87,2.4157819854339166,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2016-17,Annual,10836.09,10412.75,24068.03,2.3113999663873614,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2017-18,Annual,10472.62,10137.0,22655.76,2.234957087895827,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2018-19,Annual,9967.12,9649.62,20736.24,2.1489177812183278,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2019-20,Annual,9767.47,9487.36,21504.41,2.2666379266729626,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2020-21,Annual,10283.27,10067.34,23264.73,2.3109113231499085,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2021-22,Annual,10947.46,10616.07,26164.58,2.464620146626765,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2022-23,Annual,11238.1,10978.61,25933.13,2.3621505819042667,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2023-24,Annual,11243.38,10839.82,27168.42,2.506353426532913,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP004,Maize,2024-25,Annual,10680.36,10435.42,23601.6,2.2616818489337276,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2015-16,Annual,5670.06,5551.07,6216.63,1.1198976053265408,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2016-17,Annual,5727.9,5602.5,6623.44,1.1822293618920123,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2017-18,Annual,5905.81,5734.9,6632.12,1.1564491098362657,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2018-19,Annual,5511.28,5271.86,5999.94,1.1381068541273858,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2019-20,Annual,5357.93,5210.5,5152.77,0.9889204490931773,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2020-21,Annual,5587.55,5419.57,5683.68,1.0487326485311566,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2021-22,Annual,5627.93,5467.92,5401.35,0.9878253522363166,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
DST01,Angul,CRP005,Moong(Green Gram),2022-23,Annual,5527.71,5370.23,5243.81,0.9764591088277412,synthetic_prototype,2024_25_project_crop_structure,SEA03,CALCULATED_FROM_PRODUCTION_AND_HARVESTED_AREA
