district_name,latitude,longitude,elevation_m,agro_climatic_zone,coastal_status,predominant_soil_type,season,N,P,K,pH,Rainfall,Temperature,Humidity,Crop
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,82.2,39.47,52.59,6.72,1178.08,23.8,77.17,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,84.03,49.53,61.34,6.05,1123.53,29.56,85.29,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,71.1,39.15,71.91,6.17,1318.83,24.18,86.96,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,80.38,59.63,84.03,5.28,1412.14,25.61,86.66,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,77.09,54.82,76.58,5.37,1278.28,31.58,78.06,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,93.26,55.31,74.81,6.87,1084.79,29.17,83.17,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,67.71,49.59,80.7,6.56,1756.29,26.14,76.97,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,107.75,57.56,81.71,5.81,1186.32,28.01,84.13,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,75.93,42.78,66.27,7.28,1230.43,33.61,77.1,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,89.03,37.15,57.87,5.52,1601.9,26.42,85.03,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,88.22,50.9,52.17,5.67,1425.9,25.6,76.85,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,73.92,53.39,54.49,5.85,1256.96,30.99,91.35,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,70.12,45.87,76.64,5.49,1085.55,25.77,76.68,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,94.63,52.62,56.39,5.93,1297.82,33.38,84.62,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,82.8,50.35,83.29,6.19,1513.27,25.28,77.17,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,110.52,58.28,65.03,6.81,1121.81,29.21,92.05,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,97.24,53.61,72.48,5.93,1445.01,32.31,90.99,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,96.02,52.97,62.18,5.97,1481.6,23.76,79.7,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,68.99,47.45,78.05,5.24,1581.25,26.19,89.15,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,84.02,54.08,49.41,5.17,1531.37,26.9,78.23,Rice
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,102.35,58.27,56.13,6.96,689.69,21.96,70.33,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,92.09,52.74,49.01,6.44,756.54,31.35,77.81,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,107.87,58.39,60.12,6.46,830.15,30.31,71.75,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,101.98,56.38,70.27,6.33,791.23,28.76,81.59,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,92.51,58.07,48.12,7.3,860.11,24.71,66.75,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,111.47,67.21,60.58,6.42,742.11,27.93,79.57,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,91.89,44.37,50.52,6.11,826.04,22.45,81.8,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,111.7,63.45,50.23,6.92,713.92,31.26,66.68,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,80.43,55.97,70.97,7.19,587.67,24.06,86.63,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,96.06,54.96,67.55,6.78,639.8,28.26,70.26,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,93.56,61.0,67.03,6.66,902.93,30.34,80.7,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,87.49,64.74,59.62,6.49,888.48,29.74,83.99,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,108.2,40.35,70.88,7.0,734.98,26.98,77.88,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,112.97,55.65,57.44,6.18,739.22,24.53,64.61,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,111.67,55.68,58.86,7.45,710.54,23.31,71.6,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,89.16,55.61,48.72,5.91,602.33,25.45,86.63,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,80.65,41.21,45.75,6.4,791.05,26.46,81.06,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,103.38,43.63,57.08,6.79,838.62,27.19,67.27,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,93.04,51.33,59.36,6.35,597.37,21.44,70.37,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,104.44,58.16,61.11,6.75,717.03,24.26,73.19,Maize
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,28.97,36.16,36.63,5.68,407.49,24.1,74.64,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,46.27,33.5,56.47,6.65,560.49,28.64,80.05,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,37.83,38.83,46.77,6.39,579.43,24.8,66.55,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.34,30.5,53.56,6.57,497.54,28.41,63.33,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,22.88,53.89,37.31,5.8,532.95,24.86,68.89,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,42.78,39.76,38.07,6.46,608.45,31.11,65.44,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,23.34,39.4,39.5,6.42,549.87,30.7,62.9,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,42.92,40.87,37.86,5.94,543.45,29.45,68.02,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,24.97,41.53,46.91,6.68,633.07,24.41,77.28,Groundnut
Angul,20.83,85.1,195,Mid Central Table Land,Inland,Red and Yellow,Kharif,32.32,40.93,58.34,6.43,436.59,26.96,58.19,Groundnut
