district_id,district_name,state,country,latitude,longitude,district_area_km2,elevation_m,min_latitude,max_latitude,min_longitude,max_longitude,coastal_status,agro_climatic_zone,agro_ecological_zone
DST01,Angul,Odisha,India,20.83,85.1,6375,195,,,,,Inland,Mid Central Table Land,Zone 12 - Eastern Plateau
DST02,Balangir,Odisha,India,20.72,83.48,6575,164,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST03,Balasore,Odisha,India,21.49,86.93,3806,16,,,,,Coastal,North Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST04,Bargarh,Odisha,India,21.33,83.62,5837,171,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST05,Bhadrak,Odisha,India,21.05,86.5,2505,17,,,,,Coastal,North Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST06,Boudh,Odisha,India,20.84,84.32,3098,87,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST07,Cuttack,Odisha,India,20.46,85.88,3932,36,,,,,Inland,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST08,Deogarh,Odisha,India,21.54,84.73,2940,192,,,,,Inland,North Western Plateau,Zone 12 - Eastern Plateau
DST09,Dhenkanal,Odisha,India,20.66,85.6,4452,80,,,,,Inland,Mid Central Table Land,Zone 12 - Eastern Plateau
DST10,Gajapati,Odisha,India,18.77,84.09,4325,74,,,,,Inland,North Eastern Ghat,Zone 12 - Eastern Plateau
DST11,Ganjam,Odisha,India,19.35,84.98,8206,17,,,,,Coastal,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST12,Jagatsinghpur,Odisha,India,20.27,86.16,1668,15,,,,,Coastal,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST13,Jajpur,Odisha,India,20.84,86.33,2899,9,,,,,Inland,North Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST14,Jharsuguda,Odisha,India,21.86,84.01,2081,218,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST15,Kalahandi,Odisha,India,19.9,83.16,7920,248,,,,,Inland,Western Undulating Zone,Zone 12 - Eastern Plateau
DST16,Kandhamal,Odisha,India,20.47,84.23,8021,485,,,,,Inland,North Eastern Ghat,Zone 12 - Eastern Plateau
DST17,Kendrapara,Odisha,India,20.5,86.42,2644,13,,,,,Coastal,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST18,Kendujhar,Odisha,India,21.63,85.58,8303,480,,,,,Inland,North Central Plateau,Zone 12 - Eastern Plateau
DST19,Khordha,Odisha,India,20.18,85.61,2813,75,,,,,Inland,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST20,Koraput,Odisha,India,18.81,82.71,8807,870,,,,,Inland,Eastern Ghat High Land,Zone 12 - Eastern Plateau
DST21,Malkangiri,Odisha,India,18.35,81.88,5791,170,,,,,Inland,South Eastern Ghat,Zone 12 - Eastern Plateau
DST22,Mayurbhanj,Odisha,India,21.93,86.73,10418,36,,,,,Inland,North Central Plateau,Zone 12 - Eastern Plateau
DST23,Nabarangpur,Odisha,India,19.23,82.55,5291,576,,,,,Inland,Eastern Ghat High Land,Zone 12 - Eastern Plateau
DST24,Nayagarh,Odisha,India,20.13,85.1,3890,85,,,,,Inland,East & South Eastern Coastal Plain,Zone 12 - Eastern Plateau
DST25,Nuapada,Odisha,India,20.83,82.53,3852,300,,,,,Inland,Western Undulating Zone,Zone 12 - Eastern Plateau
DST26,Puri,Odisha,India,19.81,85.83,3479,10,,,,,Coastal,East & South Eastern Coastal Plain,Zone 18 - Eastern Coastal Plain
DST27,Rayagada,Odisha,India,19.17,83.82,7073,207,,,,,Inland,North Eastern Ghat,Zone 12 - Eastern Plateau
DST28,Sambalpur,Odisha,India,21.47,83.97,6624,135,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST29,Subarnapur,Odisha,India,20.83,83.92,2337,122,,,,,Inland,Western Central Table Land,Zone 12 - Eastern Plateau
DST30,Sundargarh,Odisha,India,22.12,84.03,9712,243,,,,,Inland,North Western Plateau,Zone 12 - Eastern Plateau
